slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
adamsst01,Steven Adams,CENTER,26,OKLAHOMA CITY THUNDER,58,58,1564,262,443,1,3,108,183,196,347,141,50,65,86,111
adebaba01,Bam Adebayo,POWER FORWARD,22,MIAMI HEAT,65,65,2235,408,719,1,13,236,342,165,518,333,78,85,185,164
aldrila01,LaMarcus Aldridge,CENTER,34,SAN ANTONIO SPURS,53,53,1754,391,793,61,157,158,191,103,289,129,36,87,74,128
alexani01,Nickeil Alexander-Walker,SHOOTING GUARD,21,NEW ORLEANS PELICANS,41,0,501,77,227,40,117,17,28,8,72,74,11,7,40,46
allengr01,Grayson Allen,SHOOTING GUARD,24,MEMPHIS GRIZZLIES,30,0,498,79,176,33,91,30,35,5,61,43,6,1,23,36
allenja01,Jarrett Allen,CENTER,21,BROOKLYN NETS,64,58,1647,267,413,0,5,147,237,195,410,85,37,85,72,144
allenka01,Kadeem Allen,SHOOTING GUARD,27,NEW YORK KNICKS,10,0,117,19,44,5,16,7,11,2,7,21,5,2,8,7
aminual01,Al-Farouq Aminu,POWER FORWARD,29,ORLANDO MAGIC,18,2,380,25,86,9,36,19,29,24,63,21,18,8,17,27
anderju01,Justin Anderson,SMALL FORWARD,26,BROOKLYN NETS,3,0,17,1,6,0,3,1,2,0,2,0,0,1,0,2
anderky01,Kyle Anderson,POWER FORWARD,26,MEMPHIS GRIZZLIES,59,20,1140,138,280,16,62,43,66,54,203,132,46,31,55,85
anderry01,Ryan Anderson,POWER FORWARD,31,HOUSTON ROCKETS,2,0,14,2,7,1,5,0,0,0,7,2,1,0,1,1
antetgi01,Giannis Antetokounmpo,POWER FORWARD,25,MILWAUKEE BUCKS,57,57,1763,623,1139,83,271,361,570,130,653,329,59,58,209,173
antetko01,Kostas Antetokounmpo,POWER FORWARD,22,LOS ANGELES LAKERS,3,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0
antetth01,Thanasis Antetokounmpo,SMALL FORWARD,27,MILWAUKEE BUCKS,18,2,93,19,36,0,7,7,15,11,8,9,6,2,11,13
anthoca01,Carmelo Anthony,POWER FORWARD,35,PORTLAND TRAIL BLAZERS,50,50,1623,289,679,72,194,113,134,61,252,79,40,23,87,142
anunoog01,OG Anunoby,SMALL FORWARD,22,TORONTO RAPTORS,63,62,1897,267,527,82,215,59,86,74,267,99,88,42,75,155
arcidry01,Ryan Arcidiacono,POINT GUARD,25,CHICAGO BULLS,58,4,930,90,220,54,138,27,38,20,90,96,27,3,37,96
arizatr01,Trevor Ariza,SMALL FORWARD,34,SACRAMENTO KINGS,32,0,791,64,165,43,122,21,27,21,125,50,35,7,28,63
arizatr01,Trevor Ariza,SMALL FORWARD,34,PORTLAND TRAIL BLAZERS,21,21,702,78,159,34,85,41,47,13,87,41,34,8,28,48
augusdj01,D.J. Augustin,POINT GUARD,32,ORLANDO MAGIC,49,6,1215,156,397,60,174,139,157,18,91,223,30,1,69,53
aytonde01,Deandre Ayton,CENTER,21,PHOENIX SUNS,30,25,996,255,465,0,3,60,78,123,237,57,22,51,71,97
bacondw01,Dwayne Bacon,SHOOTING GUARD,24,CHARLOTTE HORNETS,39,11,687,85,244,19,67,35,53,15,85,52,23,2,37,52
baglema01,Marvin Bagley III,POWER FORWARD,20,SACRAMENTO KINGS,13,6,334,78,167,4,22,25,31,29,68,10,6,12,18,43
balllo01,Lonzo Ball,POINT GUARD,22,NEW ORLEANS PELICANS,56,47,1817,259,628,139,363,38,67,63,285,392,80,30,172,110
bambamo01,Mo Bamba,CENTER,21,ORLANDO MAGIC,60,0,868,132,282,37,104,31,46,98,201,42,22,85,42,115
bareajo01,J.J. Barea,POINT GUARD,35,DALLAS MAVERICKS,26,4,391,74,179,29,76,17,18,10,38,99,4,2,35,25
barneha02,Harrison Barnes,POWER FORWARD,27,SACRAMENTO KINGS,64,64,2231,326,711,93,243,196,244,61,245,152,38,10,80,82
barrerj01,RJ Barrett,SHOOTING GUARD,19,NEW YORK KNICKS,56,55,1704,292,727,63,197,156,254,50,229,143,55,17,124,122
bartowi01,Will Barton,SMALL FORWARD,29,DENVER NUGGETS,58,58,1916,332,738,108,288,102,133,76,289,212,61,29,88,121
bateske01,Keita Bates-Diop,SMALL FORWARD,24,MINNESOTA TIMBERWOLVES,37,0,646,87,206,31,94,46,65,21,89,30,17,20,14,36
bateske01,Keita Bates-Diop,SMALL FORWARD,24,DENVER NUGGETS,2,0,19,2,2,0,0,3,4,0,2,0,0,1,0,2
batumni01,Nicolas Batum,SMALL FORWARD,31,CHARLOTTE HORNETS,22,3,505,28,81,14,49,9,10,25,75,66,17,8,22,41
baynear01,Aron Baynes,CENTER,33,PHOENIX SUNS,42,28,934,183,381,59,168,56,75,71,166,67,10,23,50,141
bazemke01,Kent Bazemore,SMALL FORWARD,30,PORTLAND TRAIL BLAZERS,43,21,1111,113,326,56,171,58,72,13,159,61,45,31,60,121
bazemke01,Kent Bazemore,SHOOTING GUARD,30,SACRAMENTO KINGS,21,0,493,72,169,22,57,51,70,11,94,24,25,8,25,61
bazleda01,Darius Bazley,POWER FORWARD,19,OKLAHOMA CITY THUNDER,53,8,909,88,230,30,100,32,47,21,175,29,20,35,40,45
bealbr01,Bradley Beal,SHOOTING GUARD,26,WASHINGTON WIZARDS,57,57,2053,593,1303,170,481,385,457,52,190,347,71,23,194,126
beaslma01,Malik Beasley,SHOOTING GUARD,23,DENVER NUGGETS,41,0,746,117,301,58,161,33,38,9,68,48,31,6,36,50
beaslma01,Malik Beasley,SHOOTING GUARD,23,MINNESOTA TIMBERWOLVES,14,14,463,110,233,49,115,21,28,9,62,27,9,2,21,27
belinma01,Marco Belinelli,SHOOTING GUARD,33,SAN ANTONIO SPURS,52,0,779,106,271,57,155,32,41,4,86,64,10,1,16,41
belljo01,Jordan Bell,CENTER,25,MINNESOTA TIMBERWOLVES,27,0,235,32,60,2,9,17,29,28,50,14,2,10,18,17
belljo01,Jordan Bell,POWER FORWARD,25,MEMPHIS GRIZZLIES,2,0,21,3,7,2,3,2,2,2,1,2,1,0,3,2
bembrde01,DeAndre' Bembry,SHOOTING GUARD,25,ATLANTA HAWKS,43,4,915,104,228,15,65,26,48,34,118,81,55,19,60,84
bendedr01,Dragan Bender,SMALL FORWARD,22,MILWAUKEE BUCKS,7,0,91,10,21,4,9,2,3,0,20,9,0,5,5,16
bendedr01,Dragan Bender,SMALL FORWARD,22,GOLDEN STATE WARRIORS,9,3,195,31,71,11,34,8,11,16,37,19,4,4,16,26
bertada01,Dāvis Bertāns,POWER FORWARD,27,WASHINGTON WIZARDS,54,4,1583,265,610,200,472,104,122,35,210,92,37,33,59,139
beverpa01,Patrick Beverley,POINT GUARD,31,LOS ANGELES CLIPPERS,48,48,1299,139,325,75,198,27,41,56,203,179,53,25,64,150
birchkh01,Khem Birch,CENTER,27,ORLANDO MAGIC,40,24,777,56,115,0,1,41,67,70,110,35,16,21,23,73
bitadgo01,Goga Bitadze,CENTER,20,INDIANA PACERS,49,2,410,61,129,6,36,24,33,22,74,21,6,32,25,57
biyombi01,Bismack Biyombo,CENTER,27,CHARLOTTE HORNETS,53,29,1029,151,278,0,0,91,151,120,188,50,10,49,48,116
bjeline01,Nemanja Bjelica,POWER FORWARD,31,SACRAMENTO KINGS,64,61,1821,287,604,125,295,60,73,107,305,179,54,33,92,193
bledser01,Eric Bledsoe,POINT GUARD,30,MILWAUKEE BUCKS,56,56,1524,319,662,70,201,157,193,41,218,302,53,25,140,120
bogdabo01,Bogdan Bogdanović,SHOOTING GUARD,27,SACRAMENTO KINGS,53,20,1510,277,639,137,380,76,105,17,154,169,54,14,89,115
bogdabo02,Bojan Bogdanović,SMALL FORWARD,30,UTAH JAZZ,63,63,2083,418,935,189,457,250,277,39,220,131,34,7,159,110
boldejo01,Jonah Bolden,POWER FORWARD,24,PHILADELPHIA 76ERS,4,0,14,2,3,0,1,0,2,0,1,0,1,0,2,4
boldejo01,Jonah Bolden,POWER FORWARD,24,PHOENIX SUNS,3,0,33,2,8,0,3,2,2,3,5,0,2,2,0,6
boldema01,Marques Bolden,CENTER,21,CLEVELAND CAVALIERS,1,0,3,0,0,0,0,0,0,0,2,0,1,0,0,1
bonejo01,Jordan Bone,POINT GUARD,22,DETROIT PISTONS,10,0,53,5,20,2,10,0,0,0,4,8,1,0,2,6
bongais01,Isaac Bonga,SMALL FORWARD,20,WASHINGTON WIZARDS,58,41,1025,96,184,22,55,52,64,61,122,61,37,21,41,136
